RegionID|RegionName|Coordinates
6046243|Nottingham, England, United Kingdom (type 3)|52.92149;-0.76279:52.93134;-0.76169:52.99412;-0.79054:52.99558;-0.81135:52.98463;-0.82146:52.97855;-0.85671:52.98923;-0.86639:52.99225;-0.91049:53.01516;-0.93605:53.03251;-0.90773:53.05483;-0.94414:53.05440;-0.96887:53.04093;-1.00198:53.05779;-1.02847:53.05407;-1.04710:53.03957;-1.06643:53.06954;-1.08866:53.08347;-1.09069:53.07311;-1.14067:53.09814;-1.13976:53.09925;-1.20067:53.10259;-1.20300:53.10034;-1.21445:53.11208;-1.23027:53.11443;-1.24653:53.11467;-1.26982:53.11131;-1.27783:53.10537;-1.28256:53.10127;-1.29560:53.10587;-1.31032:53.10098;-1.32599:53.08169;-1.33997:53.06879;-1.32862:53.06588;-1.33529:53.06803;-1.35464:53.05143;-1.36590:53.05065;-1.36629:53.03512;-1.35733:53.02970;-1.36480:53.03217;-1.37329:53.03065;-1.37961:53.01720;-1.38174:53.01439;-1.37357:53.00178;-1.37405:53.00097;-1.37801:52.99472;-1.38187:52.98654;-1.37682:52.98671;-1.37405:53.00323;-1.30475:52.97984;-1.29719:52.98423;-1.27742:52.98202;-1.27476:52.97441;-1.29025:52.96782;-1.28275:52.96132;-1.28485:52.96048;-1.29059:52.95439;-1.29077:52.94964;-1.27862:52.94401;-1.28656:52.94222;-1.27848:52.93444;-1.28103:52.93895;-1.28852:52.93413;-1.29059:52.93109;-1.31340:52.92615;-1.31316:52.92478;-1.30560:52.89437;-1.29967:52.88907;-1.32062:52.87719;-1.32065:52.86898;-1.30641:52.87093;-1.27432:52.84522;-1.26636:52.83615;-1.25148:52.83814;-1.24715:52.84913;-1.18480:52.86443;-1.18382:52.86796;-1.17075:52.84537;-1.14496:52.84740;-1.12763:52.82330;-1.11771:52.82204;-1.08164:52.83729;-1.07706:52.82631;-1.04696:52.83466;-1.04057:52.84299;-1.04134:52.84566;-1.03414:52.88379;-0.89782:52.89965;-0.88739:52.88378;-0.86351:52.88468;-0.83788:52.88469;-0.81894:52.89258;-0.80750:52.90309;-0.81131:52.91886;-0.78078
6046253|Vatican, Rome, Italy (type 1)|41.90403;12.47431:41.90678;12.47449:41.90972;12.47233:41.91294;12.47115:41.91449;12.47063:41.91874;12.47077:41.92176;12.46870:41.92335;12.46283:41.92501;12.46029:41.92303;12.45498:41.91656;12.44572:41.91141;12.43267:41.90431;12.43444:41.89998;12.43539:41.89327;12.44945:41.89370;12.45886:41.89607;12.46006:41.89741;12.46492:41.89972;12.46313:41.90067;12.46341:41.90170;12.46504:41.90254;12.47139
6046254|Spanish Steps, Rome, Italy (type 7)|41.90478;12.48693:41.90325;12.48493:41.90135;12.47853:41.90270;12.47769:41.90407;12.47436:41.90682;12.47456:41.90977;12.47235:41.91291;12.47119:41.91291;12.47123:41.91381;12.47588:41.91095;12.47766:41.90673;12.48460:41.90651;12.48438
6046255|Via Veneto, Rome, Italy (type 1)|41.90652;12.48437:41.91255;12.49114:41.91481;12.49784:41.91103;12.50391:41.90971;12.50222:41.90220;12.49073
6046256|Trastevere, Rome, Italy (type 1)|41.89143;12.47226:41.89144;12.47746:41.89064;12.47890:41.88820;12.47994:41.88320;12.47524:41.87961;12.47038:41.87557;12.47011:41.86814;12.47389:41.86593;12.47621:41.86571;12.47112:41.86731;12.46842:41.86871;12.46490:41.87219;12.46345:41.88354;12.46545:41.89005;12.46562:41.89192;12.46706:41.89554;12.46484:41.89587;12.46599
6046257|Colosseum, Rome, Italy (type 7)|41.89535;12.49881:41.89488;12.50005:41.88729;12.50426:41.88139;12.49373:41.88866;12.47975:41.89068;12.47893:41.89575;12.48322:41.89686;12.49350:41.89909;12.49576:41.89812;12.49691:41.89713;12.49919:41.89665;12.49860
6046258|Aventine, Rome, Italy (type 1)|41.86593;12.47621:41.86814;12.47391:41.87559;12.47010:41.87961;12.47039:41.88326;12.47530:41.88845;12.48016:41.87994;12.49634:41.86661;12.49695
6046259|EUR, Rome, Italy (type 1)|41.85360;12.44051:41.85544;12.44802:41.85650;12.45697:41.86006;12.46298:41.86869;12.46488:41.86730;12.46844:41.86570;12.47115:41.86659;12.49694:41.83805;12.53111:41.78240;12.53134:41.75999;12.43590:41.79709;12.39280:41.80830;12.37992:41.83026;12.38685:41.85378;12.43643
6046260|Eixample, Barcelona, Spain (type 1)|41.39645;2.15985:41.39535;2.15594:41.39238;2.14460:41.38562;2.14303:41.38094;2.14286:41.37545;2.14976:41.37510;2.16058:41.37485;2.16809:41.37856;2.16294:41.38540;2.16379:41.38604;2.16442:41.38575;2.16983:41.38931;2.17348:41.38912;2.17587:41.39019;2.17733:41.39114;2.17973:41.39227;2.18136:41.39159;2.18227:41.39472;2.18665:41.40321;2.18691:41.41188;2.17563:41.40700;2.16890:41.40433;2.17239:41.40087;2.16776:41.40171;2.16656
6046337|Rendena Valley, Italy (type 5)|46.21913;10.69927:46.23674;10.73760:46.18359;10.77287:46.16367;10.79461:46.18186;10.84612:46.15309;10.86519:45.97002;10.75163:45.97709;10.64510:46.08060;10.65032
