AirportID|AirportCode|AirportName|Latitude|Longitude|MainCityID|CountryCode
6033011|VXO|Vaxjo, Sweden (VXO-Smaland)|56.925002|14.731239|6055920|SE
6033013|VYD|Vryheid, South Africa (VYD)|-27.785514|30.791601|3753|ZA
6033015|VYS|Peru, IL, United States (VYS-Illinois Valley Regional)|41.352360|-89.149420||US
6033017|WAA|Wales, AK, United States (WAA)|65.623100|-168.100000||US
6033023|WAE|Wadi-Ad-Dawasir, Saudi Arabia (WAE)|20.498758|45.204618||SA
6033025|WAG|Wanganui, New Zealand (WAG)|-39.961070|175.024223|3758|NZ
6033027|WAI|Antsohihy, Madagascar (WAI-Ambalabe)|-14.903285|47.995762||MG
6033031|WAM|Ambatondrazaka, Madagascar (WAM)|-17.797430|48.442571||MG
6033035|WAQ|Antsalova, Madagascar (WAQ)|-18.699329|44.615737||MG
6033039|WAT|Waterford, Ireland (WAT)|52.188690|-7.080730|6056851|IE
6033041|WAV|Wave Hill, NT, Australia (WAV)|-17.388320|131.114273||AU
6033043|WBB|Stebbins, AK, United States (WBB)|63.515400|-162.286000||US
6033047|WBM|Wapenamanda, Papua New Guinea (WBM)|-5.636144|143.893433||PG
6033053|WBQ|Beaver, AK, United States (WBQ)|66.361300|-147.403000|6056344|US
6033055|WBR|Big Rapids, MI, United States (WBR-Roben-Hood)|43.727160|-85.510320|10374|US
6033057|WBU|Boulder, CO, United States (WBU-Boulder Municipal)|40.037308|-105.230409||US
6033059|WDG|Enid, OK, United States (WDG-Enid Woodring Municipal)|36.383380|-97.787260|6140970|US
6033061|WDH|Windhoek, Namibia (WDH-Hosea Kutako)|-22.486909|17.463147|3772|NA
6033063|WDN|Waldron Island, WA, United States (WDN)|48.709820|-123.017150||US
6033065|WED|Wedau, Papua New Guinea (WED)|-10.095797|150.083542||PG
6033067|WEF|Weifang, China (WEF)|36.640876|119.113169|3774|CN
6033069|WEH|Weihai, China (WEH)|37.187809|122.235947|3775|CN
6033071|WEI|Weipa, QLD, Australia (WEI)|-12.680535|141.924477||AU
6033073|WEL|Welkom, South Africa (WEL)|-27.996092|26.666351|3777|ZA
6033077|WEW|Wee Waa, NSW, Australia (WEW)|-30.256547|149.407024||AU
6033081|WFI|Fianarantsoa, Madagascar (WFI)|-21.440736|47.110499||MG
6033083|WFK|Frenchville, ME, United States (WFK-Northern Aroostook Regional)|47.287036|-68.314252||US
6033085|WGC|Warangal, India (WGC)|17.912429|79.604874||IN
6033087|WGE|Walgett, NSW, Australia (WGE)|-30.032393|148.122997||AU
6033089|OKV|Winchester, VA, United States (OKV-Winchester Regional)|39.142890|-78.147690||US
6033091|WGT|Wangaratta, VIC, Australia (WGT)|-36.417138|146.306992|10395|AU
6033097|WHK|Whakatane, New Zealand (WHK)|-37.925006|176.917777||NZ
6033099|WHL|Welshpool, VIC, Australia (WHL)|-38.683500|146.451187||AU
6033101|WHN|Dallas, TX, United States (WHN-Police H Port-Redbird Heliport)|32.678888|-96.862426||US
6033105|WHT|Wharton, TX, United States (WHT-Wharton Municipal)|29.258641|-96.155262|6058976|US
6033107|WHU|Wuhu, China (WHU)|31.390352|118.396740|3786|CN
6033109|WIC|Wick, Scotland, UK (WIC)|58.451865|-3.091793|3787|GB
6033111|WIL|Nairobi, Kenya (WIL-Wilson)|-1.317843|36.814475|2523|KE
