RegionID|RegionType|RelativeSignificance|SubClass|RegionName|RegionNameLong|ParentRegionID|ParentRegionType|ParentRegionName|ParentRegionNameLong
3026|City|||Rosario|Rosario, Argentina|6232320|Multi-Region (within a country)|Santa Fe (province)|Santa Fe (province), Argentina
6146247|City|||Cayasta|Cayasta, Argentina|6232320|Multi-Region (within a country)|Santa Fe (province)|Santa Fe (province), Argentina
6209955|City||shopping|Pedestrian Cordoba Street|Pedestrian Cordoba Street, Rosario, Argentina|6232320|Multi-Region (within a country)|Santa Fe (province)|Santa Fe (province), Argentina
6323658|City|||Arroyo Seco|Arroyo Seco, Argentina|6232320|Multi-Region (within a country)|Santa Fe (province)|Santa Fe (province), Argentina
6323672|City|||Funes|Funes, Argentina|6232320|Multi-Region (within a country)|Santa Fe (province)|Santa Fe (province), Argentina
6323677|City|||Ibarlucea|Ibarlucea, Argentina|6232320|Multi-Region (within a country)|Santa Fe (province)|Santa Fe (province), Argentina
6323684|City|||Roldan|Roldan, Argentina|6232320|Multi-Region (within a country)|Santa Fe (province)|Santa Fe (province), Argentina
6323744|City|||Zavalla|Zavalla, Argentina|6232320|Multi-Region (within a country)|Santa Fe (province)|Santa Fe (province), Argentina
892|City|||Concordia|Concordia, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
500197|City|||Parana|Parana, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
6141108|City|||Federacion|Federacion, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
6144191|City|||Colon|Colon, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
6201387|City|||Gualeguaychu|Gualeguaychu, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
6201389|City|||San Salvador|San Salvador, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
6246538|City|||Victoria|Victoria, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
6323676|City|||Gualeguay|Gualeguay, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
6335738|City|||Ceibas|Ceibas, Argentina|6232337|Multi-Region (within a country)|Entre Rios (province)|Entre Rios (province), Argentina
397|City|||Paso de los Libres|Paso de los Libres, Argentina|6232362|Multi-Region (within a country)|Corrientes (province)|Corrientes (province), Argentina
178069|City|||Bella Vista|Bella Vista, Argentina|6232362|Multi-Region (within a country)|Corrientes (province)|Corrientes (province), Argentina
6049079|City|||Esquina|Esquina, Argentina|6232362|Multi-Region (within a country)|Corrientes (province)|Corrientes (province), Argentina
6049974|City|||Ituzaingo|Ituzaingo, Argentina|6232362|Multi-Region (within a country)|Corrientes (province)|Corrientes (province), Argentina
6229952|City||neighbor|Puerto Valle|Puerto Valle, Ituzaingo, Argentina|6232362|Multi-Region (within a country)|Corrientes (province)|Corrientes (province), Argentina
2887|City|||Posadas|Posadas, Argentina|6232393|Multi-Region (within a country)|Misiones (province)|Misiones (province), Argentina
6144162|City|||Puerto Rico|Puerto Rico, Argentina|6232393|Multi-Region (within a country)|Misiones (province)|Misiones (province), Argentina
6201391|City|||San Ignacio|San Ignacio, Argentina|6232393|Multi-Region (within a country)|Misiones (province)|Misiones (province), Argentina
6201393|City|||Santa Ana|Santa Ana, Argentina|6232393|Multi-Region (within a country)|Misiones (province)|Misiones (province), Argentina
6229964|City|||Apostoles|Apostoles, Argentina|6232393|Multi-Region (within a country)|Misiones (province)|Misiones (province), Argentina
6244614|City|||Eldorado|Eldorado, Argentina|6232393|Multi-Region (within a country)|Misiones (province)|Misiones (province), Argentina
6249036|City|||Montecarlo|Montecarlo, Argentina|6232393|Multi-Region (within a country)|Misiones (province)|Misiones (province), Argentina
6343403|City|||Saltos del Mocona|Saltos del Mocona, Argentina|6232393|Multi-Region (within a country)|Misiones (province)|Misiones (province), Argentina
2976|City|||Resistencia|Resistencia, Argentina|6232456|Multi-Region (within a country)|Chaco (province)|Chaco (province), Argentina
6201703|City|||Presidencia de la Plaza|Presidencia de la Plaza, Argentina|6232456|Multi-Region (within a country)|Chaco (province)|Chaco (province), Argentina
1226|City|||Formosa|Formosa, Argentina|6232463|Multi-Region (within a country)|Formosa (province)|Formosa (province), Argentina
3107|City|||Santiago del Estero|Santiago del Estero, Argentina|6232466|Multi-Region (within a country)|Santiago del Estero (province)|Santiago del Estero (province), Argentina
6159820|City|||Termas de Rio Hondo|Termas de Rio Hondo, Argentina|6232466|Multi-Region (within a country)|Santiago del Estero (province)|Santiago del Estero (province), Argentina
6201711|City|||Pampa de los Guanacos|Pampa de los Guanacos, Argentina|6232466|Multi-Region (within a country)|Santiago del Estero (province)|Santiago del Estero (province), Argentina
6348181|City|||La Banda|La Banda, Argentina|6232466|Multi-Region (within a country)|Santiago del Estero (province)|Santiago del Estero (province), Argentina
6348226|City|||Frias|Frias, Argentina|6232466|Multi-Region (within a country)|Santiago del Estero (province)|Santiago del Estero (province), Argentina
6348245|City|||Villa Union|Villa Union, Argentina|6232466|Multi-Region (within a country)|Santiago del Estero (province)|Santiago del Estero (province), Argentina
6348659|City|||Colalao del Valle|Colalao del Valle, Argentina|6232473|Multi-Region (within a country)|Tucuman (province)|Tucuman (province), Argentina
6348665|City|||Amaicha Del Valle|Amaicha Del Valle, Argentina|6232473|Multi-Region (within a country)|Tucuman (province)|Tucuman (province), Argentina
6047252|City|||Cafayate|Cafayate, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6084961|City|||Rosario de la Frontera|Rosario de la Frontera, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6084962|City|||Cachi|Cachi, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6096831|City||tree|Los Cardones National Park|Los Cardones National Park, Cachi, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6124836|City|||Iruya|Iruya, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6124837|City|||San Antonio de los Cobres|San Antonio de los Cobres, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6311918|City|||Payogasta|Payogasta, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
