EANHotelID|SequenceNumber|Name|Address1|Address2|City|StateProvince|PostalCode|Country|Latitude|Longitude|AirportCode|PropertyCategory|PropertyCurrency|StarRating|Confidence|SupplierType|Location|ChainCodeID|RegionID|HighRate|LowRate|CheckInTime|CheckOutTime
198867|67|Fort Marcy Hotel Suites|321 Kearney Ave||Santa Fe|NM|87501|US|35.69083|-105.93233|SAF|7|USD|3.0|52|ESR|Near Palace of the Governors||3068|299|269|4 PM|11 AM
257666|68|Iberostar Bahia Hotel All Inclusive|Rodvia. BA 099 Km 57|Praia do Forte|Mata de Sao Joao||48280000|BR|-12.54999|-37.98914|SSA|8|USD|3.5|52|ESR|Near Project Tamar Turtle Sanctuary|2227|601935|400|293.34||
424283|69|One Niseko Resort Towers|455-3 Niseko||Niseko||048-1511|JP|42.84664|140.62543|CTS|1|JPY|4.0|52|ESR|Near Niseko Higashiyama Ski Area||500669|388.8186|259.2175||
441756|70|Ereza Apartamentos Los Hibiscos|Doramas 16|Puerto del Carmen|Tias||35510|ES|28.92191|-13.65969|ACE|22|EUR|3.0|52|ESR|In Tias (Puerto del Carmen)||182406|135.7082|90.6594||
357896|71|Princessa Riviera Resort|Pythagorion||Samos||83103|GR|37.69610|26.96327|SMI|1|EUR|3.0|100|ESR|In Samos (Pythagorio)||3216|124.58|87.42||
346138|72|Sheraton Lagos Hotel|30 Mobolaji Bank Anthony Way|Airport Road, Ikeja|Lagos|||NG|6.58305|3.35873|LOS|1|NGN|4.0|52|ESR|Near Computer Village|130|179353|333.75|283.53|3 PM|1 PM
436579|73|Beach Park Suites Resort|Via Local 27 lado impar-Porto das Dunas||Aquiraz||61700-000|BR|-3.88965|-38.35836|FOR|3|BRL|3.5|52|ESR|Near Park Engenhoca||6034455|267.39|136.79||
183807|74|Le Royal Hotels & Resorts - Amman|Zahran Street 3rd Circle|Jabal Amman|Amman||11118|JO|31.95391|35.90899|AMM|1|JOD|5.0|54|ESR|Near Coptic Church||6269089|232.9189|162.1394||
374089|75|Best Western Hotel Belfort|9 Avenue Wilson||Belfort||90000|FR|47.63353|6.85425|MLH|1|EUR|3.0|100|ESR|Near Belfort Cathedral|17|6395|114.13|61.23||
114120|76|Taj Boston|15 Arlington St||Boston|MA|02116|US|42.35293|-71.07122|BOS|1|USD|4.5|95|ESR|Near Boston Public Garden|734|660|645|245|3 PM|noon
236948|77|Sol Palmanova - Mirlos Tordos All Inclusive|Pinzones s/n|Palma Nova|Calvia||07181|ES|39.51591|2.53464|PMI|1|EUR|4.0|52|ESR|Near Golf Fantasia|2432|182299|159.32|127.33|2 PM|Noon
140610|78|Belle Maison Apartments|129 Surf Parade||Broadbeach|QL|4218|AU|-28.02538|153.43131|OOL|16|AUD|4.5|52|ESR|Near Jupiters Casino||177549|150.7346|149.7346|2 PM|10 AM
348926|79|Aparthotel Parque Tropical|Paseo de los Limoneros|Vera Playa|Vera||04620|ES|37.20993|-1.81788|AGP|22|EUR|3.0|52|ESR|In Vera (Vera Playa)||6024012|243.8506|45.1124||
313199|80|Grand Riviera Princess All Suites Resort & Spa All Inclusive|Prolongacion 5ta Avenida|Mza 20 Lote 006|Playa del Carmen||77710|MX|20.67261|-87.03429|CUN|8|USD|4.0|52|ESR|Near Coco Beach||601751|509.688|467.7171|3 PM|noon
132528|80|Olympic Lagoon Resort Paphos|Poseidon Avenue||Paphos||8090|CY|34.74759|32.42592|PFO|8|EUR|5.0|80|ESR|Near Paphos Aphrodite Waterpark||2775|404.04|323.65|2 PM|noon
343162|81|Hotel Artiem Carlos III|Carrer Carles III, 2-4||Es Castell||07720|ES|39.88234|4.28940|MAH|1|EUR|4.0|52|ESR|Near Mahon Arsenal|3342|6034684|180.0147|105.1102||
442028|82|Crowne Plaza Chengdu West|No. 1, Xixin Avenue|High-Technology West Zone|Chengdu||610041|CN|30.73060|103.97200|CTU|1|CNY|4.5|52|ESR|In the city center|256|930|192.52|85.65||
138656|82|Le Meridien Fisherman's Cove|Bel Ombre Rd||Mahe Island|||SC|-4.61666|55.42188|SEZ|1|EUR|5.0|52|ESR|Near Beau Vallon Beach|87|3127|770.0134|361.9839|3 PM|noon
259608|83|Waikiki Shore by Outrigger|2161 Kalia Road||Honolulu|HI|96815|US|21.27904|-157.83253|HNL|7|USD|3.0|52|ESR|Near Royal Hawaiian Center|102|1488|338.96|238.96||
326459|84|Mabely Grand Hotel|Kambi Exo Chora||Zakynthos||291 00|GR|37.77897|20.67931|ZTH|1|EUR|5.0|52|ESR|In Zakynthos (Kambi)||601109|370.65|120.89||
424946|85|Nuovo Natural Village|Contrada Terranova, SS 16 km, 331,48||Potenza Picena||62018|IT|43.39570|13.67942|AOI|16|EUR|.0|52|ESR|In Potenza Picena (Porto Potenza Picena)||6123519|100.2438|37.5848||
487313|86|Best Western Premier Accra Airport Hotel|17 White Avenue||Accra||00000|GH|5.60439|-.17206|ACC|1|GHS|4.0||ESR|Near Accra Mall|17|6297295|500|204||
107765|87|Quality Inn & Suites|1225 N Dixie Hwy||Monroe|MI|48162|US|41.92565|-83.36438|DTW|1|USD|2.5|52|ESR|Near Raisin River Golf Course|111|8679|119.99|89.99|3 PM|noon
119492|88|Fairfield Inn Ponca City|3405 N 14th St||Ponca City|OK|74601|US|36.74432|-97.06726|PNC|1|USD|2.5|95|ESR|Near Ponca Plaza|44|2836|119|109|3 PM|noon
221228|89|Royal Decameron Baobab|Village De La Somone Bp 81||La Somone||0|SN|14.49083|-17.08501|DKR|8|XOF|2.0|52|ESR|On the beach||6034881|206.42|160.04||
410334|90|Chateau Royal Beach Resort and Spa|140 Promenade Roger Laroque|BP 18716|Noumea||98807|NC|-22.30924|166.45017|NOU|1|XPF|4.0|52|ESR|Near Aquarium des Lagons||2590|577.2017|218.916||
410355|91|Cumulus Rautatienkatu|Rautatienkatu 21||Tampere||33100|FI|61.49981|23.77143|TMP|1|EUR|3.5|5|ESR|Near Tampere Hall|3256|3484|192.84|143.59||
426694|92|Hotel Royal-St.Georges Interlaken - MGallery Collection|Hoeheweg 139||Interlaken||3800|CH|46.68869|7.86313|ZRH|1|CHF|4.5|52|ESR|Near Interlaken Casino|2435|6052439|226.14|225.14||
203526|93|Royal West Indies Resort|Grace Bay Rd||Providenciales|||TC|21.79906|-72.16894|PLS|1|USD|4.0|52|ESR|Near The Regent Village Shopping Mall||2822|650|365||
271832|94|Don Gaspar Inn|623 Don Gaspar||Santa Fe|NM|87505|US|35.67959|-105.94140|ABQ|5|USD|3.5|52|ESR|Near Santa Fe Railyard|2136|3068|239|175||
241676|95|Cocos Hotel Antigua - All Inclusive - Adults Only|Valley Church Road||Valley Church|||AG|17.05345|-61.89206|ANU|8|USD|3.5|52|ESR|Near Valley Church Beach||11729|887|740|3 PM|
253738|96|Aitutaki Lagoon Resort & Spa|Aitutaki Lagoon|Motu Akitua|Aitutaki|||CK|-18.84971|-159.75724|AIT|3|NZD|4.5|52|ESR|In Aitutaki (Akitua Island)||331|2113.5852|1624.7668||
313433|97|Pelagos Suites Hotel|Lambi Beach||Kos||85300|GR|36.90995|27.26935|KGS|22|EUR|4.0|52|ESR|In Kos (Lambi)||1804|1507.4209|210.7399||
112830|98|Residence Inn Ann Arbor by Marriott|800 Victors Way||Ann Arbor|MI|48108|US|42.23982|-83.73680|DTW|22|USD|3.0|95|ESR|Near Cobblestone Farm|114|6155|229|159|3 PM|noon
354792|99|Jupiter International Hotel Cazanchis|Marshal Tito Road Cazanchise||Addis Ababa|||ET|9.01650|38.76826|ADD|1|USD|4.0|52|ESR|Near ECA Conference Center||6271020|185.2503|140.3322||
